,date,pm02_no.001,atmp_no.001,rhum_no.001,pm02_no.002,atmp_no.002,rhum_no.002,pm02_no.003,atmp_no.003,rhum_no.003,pm02_no.004,atmp_no.004,rhum_no.004,pm02_no.005,atmp_no.005,rhum_no.005,pm02_no.006,atmp_no.006,rhum_no.006,pm02_no.007,atmp_no.007,rhum_no.007,pm02_no.008,atmp_no.008,rhum_no.008,pm02_no.009,atmp_no.009,rhum_no.009,pm02_no.010,atmp_no.010,rhum_no.010,pm02_no.011,atmp_no.011,rhum_no.011,pm02_no.012,atmp_no.012,rhum_no.012,pm02_no.013,atmp_no.013,rhum_no.013,pm02_no.014,atmp_no.014,rhum_no.014,pm02_no.015,atmp_no.015,rhum_no.015,pm02_no.016,atmp_no.016,rhum_no.016,pm02_no.017,atmp_no.017,rhum_no.017,pm02_no.018,atmp_no.018,rhum_no.018,pm02_no.019,atmp_no.019,rhum_no.019,pm02_no.020,atmp_no.020,rhum_no.020,pm02,atmp,rhum
1,07/10/2024 17:00,0.942424242,19.33969697,62.38484848,1.028333333,19.11416667,62.98933333,1.075,18.74875,64.4884375,0.996969697,18.64030303,64.73333333,1.15,19.320625,63.2465625,0.783870968,19.43741935,61.78419355,0.846666667,19.08033333,63.46233333,0.858064516,18.62258065,65.05419355,0.976666667,18.62983333,64.8515,0.932258065,18.6383871,64.05,0.846666667,19.11833333,62.94933333,0.803333333,19.038,62.50666667,1.136666667,18.97966667,64.65666667,0.789655172,19.58172414,62.3062069,0.853333333,18.83233333,64.573,0.986666667,19.142,63.20866667,0.868965517,19.3862069,62.13344828,0.937931034,19.03448276,62.69689655,0.864285714,18.555,65.71142857,1.003448276,18.53517241,64.16862069,3.520689483,17.8440222,71.28489423
2,07/10/2024 18:00,0.788333333,19.22366667,62.35516667,0.845,19.00766667,62.9015,0.92,18.63083333,64.51616667,0.87,18.52916667,64.86333333,0.966666667,19.187,63.40983333,0.675,19.33366667,62.0255,0.688333333,18.94133333,63.3975,0.703333333,18.56216667,65.06716667,0.865,18.488,64.87133333,0.803333333,18.51066667,64.13633333,0.693333333,19.0635,62.83483333,0.711666667,18.942,62.49866667,0.913333333,18.85233333,64.51933333,0.688333333,19.49433333,62.29516667,0.8,18.7,64.73516667,0.766666667,19.00283333,63.2215,0.726666667,19.26333333,62.13233333,0.79,18.95833333,62.57466667,0.73,18.47716667,65.57516667,0.856666667,18.42616667,64.215,2.651907267,17.67927883,71.67137855
3,07/10/2024 19:00,0.715,19.00533333,62.3905,0.753333333,18.82466667,62.88633333,0.82,18.42633333,64.65283333,0.81,18.33533333,64.78883333,0.858333333,18.97716667,63.4775,0.573333333,19.15233333,62.00533333,0.61,18.7305,63.5255,0.705,18.40633333,64.90233333,0.768333333,18.28783333,65.084,0.678333333,18.2835,64.37316667,0.61,18.87416667,62.9665,0.596666667,18.73166667,62.636,0.805,18.6295,64.58033333,0.57,19.30383333,62.41033333,0.701666667,18.47583333,64.9545,0.671666667,18.78983333,63.4305,0.621666667,19.055,62.17366667,0.693333333,18.78833333,62.68016667,0.616666667,18.26283333,65.71433333,0.726666667,18.24516667,64.20216667,2.13387775,17.4288675,72.04485215
4,07/10/2024 20:00,0.676666667,18.73083333,62.65,0.778333333,18.59733333,63.07666667,0.775,18.14416667,64.82883333,0.835,18.09866667,64.91933333,0.806666667,18.73183333,63.84266667,0.54,18.90816667,62.05216667,0.541666667,18.49883333,63.6085,0.753333333,18.14966667,64.93116667,0.726666667,18.03583333,65.11633333,0.665,18.04466667,64.455,0.578333333,18.49,63.37366667,0.62,18.52316667,62.61433333,0.74,18.36816667,64.75616667,0.513333333,19.06383333,62.52283333,0.663333333,18.2335,64.9935,0.641666667,18.49066667,63.6265,0.595,18.747,62.52366667,0.668333333,18.56216667,62.6455,0.58,17.97816667,65.8835,0.735,18.0035,64.39533333,1.992325967,17.1251063,72.52285
5,07/10/2024 21:00,0.633333333,18.482,62.78183333,0.751666667,18.36616667,63.121,0.715,17.89716667,64.99333333,0.745,17.86633333,65.03133333,0.703333333,18.50133333,63.7155,0.493333333,18.67033333,62.19266667,0.516666667,18.27366667,63.7075,0.688333333,17.93283333,65.055,0.66,17.79633333,65.3405,0.615,17.8145,64.5215,0.578333333,18.2315,63.592,0.553333333,18.2965,62.6975,0.7,18.12783333,64.8975,0.48,18.83116667,62.56116667,0.638333333,18.009,65.16916667,0.58,18.23266667,63.912,0.548333333,18.49316667,62.7045,0.591666667,18.3265,62.81066667,0.55,17.72516667,66.16566667,0.701666667,17.76566667,64.40233333,1.832068083,16.90814643,72.79689287
6,07/10/2024 22:00,0.595,18.29616667,62.89383333,0.665,18.16833333,63.27883333,0.661666667,17.7165,65.02,0.685,17.63983333,65.214,0.655,18.3065,63.86683333,0.455,18.4665,62.20766667,0.456666667,18.077,63.80066667,0.615,17.71916667,65.03083333,0.613333333,17.591,65.28216667,0.576666667,17.63333333,64.556,0.571666667,17.983,63.77366667,0.496666667,18.09916667,62.793,0.668333333,17.943,64.97,0.446666667,18.6155,62.68583333,0.605,17.809,65.15933333,0.545,18.0335,63.87266667,0.515,18.30133333,62.80533333,0.541666667,18.12833333,62.82266667,0.506666667,17.50483333,66.17233333,0.606666667,17.54233333,64.55983333,1.7194496,16.70382715,72.9728327
7,07/10/2024 23:00,0.571666667,18.12933333,62.87066667,0.59,18.00066667,63.28183333,0.641666667,17.535,65.01666667,0.641666667,17.4625,65.35016667,0.663333333,18.144,63.85333333,0.43,18.28916667,62.45183333,0.431666667,17.91733333,63.75816667,0.613333333,17.5775,65.21733333,0.525,17.43033333,65.37066667,0.535,17.4595,64.62016667,0.523333333,17.81433333,63.97616667,0.445,17.926,62.74166667,0.591666667,17.79033333,64.96016667,0.406666667,18.4525,62.71266667,0.538333333,17.66866667,65.1505,0.51,17.86466667,63.98633333,0.505,18.1315,62.77616667,0.525,17.95533333,62.801,0.46,17.32466667,66.574,0.605,17.38583333,64.746,1.562660783,16.56557185,73.05906893
8,08/10/2024,0.515,18.01366667,62.79516667,0.576666667,17.881,63.2615,0.588333333,17.418,65.1375,0.59,17.34266667,65.37966667,0.605,18.0245,63.84466667,0.401666667,18.1425,62.45083333,0.433333333,17.78516667,63.74583333,0.616666667,17.4535,65.35233333,0.491666667,17.30983333,65.6995,0.508333333,17.34416667,64.8405,0.468333333,17.69016667,63.9295,0.461666667,17.80366667,62.69516667,0.581666667,17.662,64.86916667,0.368333333,18.33533333,62.76783333,0.508333333,17.5525,65.31566667,0.49,17.74866667,64.05683333,0.46,18.0315,62.72066667,0.53,17.78233333,63.08766667,0.465,17.20433333,66.83383333,0.603333333,17.274,64.92016667,1.4944602,16.45033193,73.06466124
9,08/10/2024 01:00,0.515,17.90466667,62.98233333,0.515,17.74433333,63.33666667,0.585,17.28416667,65.5025,0.595,17.22716667,65.61766667,0.571666667,17.9095,63.85166667,0.408333333,18.033,62.4485,0.4,17.666,63.93066667,0.556666667,17.39433333,65.384,0.478333333,17.19533333,65.9105,0.52,17.23833333,65.1335,0.42,17.68516667,63.72233333,0.391666667,17.68166667,62.88383333,0.543333333,17.56516667,65.01333333,0.385,18.22733333,62.90516667,0.465,17.45866667,65.2625,0.48,17.63116667,64.06583333,0.446666667,17.89633333,62.99416667,0.48,17.68066667,63.051,0.455,17.04366667,67.25516667,0.538333333,17.1945,65.0355,1.441915883,16.36093747,73.1202178
10,08/10/2024 02:00,0.495,17.76433333,63.06133333,0.518333333,17.62583333,63.53366667,0.54,17.117,65.873,0.566666667,17.0805,66.06833333,0.541666667,17.76683333,64.07066667,0.365,17.8175,62.666,0.405,17.529,63.92633333,0.553333333,17.22583333,65.7165,0.435,17.07783333,66.13433333,0.468333333,17.11916667,65.32733333,0.46,17.477,63.89866667,0.381666667,17.55033333,63.08333333,0.491666667,17.4565,65.05633333,0.333333333,18.1035,62.828,0.468333333,17.31716667,65.49483333,0.475,17.46733333,64.18933333,0.428333333,17.74166667,63.02416667,0.486666667,17.4905,63.36166667,0.428333333,16.91016667,67.55316667,0.518333333,17.06466667,65.29066667,1.377209167,16.21616233,73.30460193
11,08/10/2024 03:00,0.431666667,17.55466667,63.085,0.516666667,17.47316667,63.69416667,0.475,16.92083333,66.3695,0.486666667,16.85966667,66.60133333,0.485,17.60716667,64.0025,0.3,17.63366667,62.769,0.348333333,17.38616667,63.9745,0.47,17.01566667,66.3055,0.425,16.90533333,66.50016667,0.401666667,16.97516667,65.53916667,0.431666667,17.238,64.4615,0.351666667,17.4115,63.251,0.455,17.26166667,65.34183333,0.275,17.94466667,62.7515,0.431666667,17.12116667,65.96866667,0.425,17.23,64.8295,0.39,17.552,63.0835,0.418333333,17.2845,63.957,0.388333333,16.70466667,68.1435,0.426666667,16.87816667,65.71466667,1.197040233,16.01783825,73.68673035
12,08/10/2024 04:00,0.388333333,17.351,63.367,0.448333333,17.28266667,63.94183333,0.396666667,16.72416667,66.67066667,0.443333333,16.68383333,66.80833333,0.43,17.4175,64.03466667,0.27,17.485,62.75866667,0.281666667,17.20116667,64.28483333,0.388333333,16.80616667,66.56483333,0.403333333,16.69366667,66.90883333,0.343333333,16.7645,65.92666667,0.371666667,17.04783333,64.71516667,0.318333333,17.221,63.57566667,0.391666667,17.02,65.89416667,0.263333333,17.73716667,62.79466667,0.365,16.91083333,66.34516667,0.358333333,17.05816667,64.97733333,0.32,17.37183333,63.30816667,0.363333333,17.12833333,64.04666667,0.325,16.497,68.47616667,0.376666667,16.67433333,66.012,1.063616983,15.78336897,73.97971978
13,08/10/2024 05:00,0.316666667,17.11283333,63.6905,0.391666667,17.0525,64.24316667,0.373333333,16.47483333,66.95883333,0.378333333,16.47866667,67.03083333,0.375,17.175,64.40516667,0.236666667,17.29316667,62.95466667,0.255,16.95066667,64.59916667,0.365,16.53933333,67.05733333,0.393333333,16.4425,67.23983333,0.298333333,16.50083333,66.33566667,0.321666667,16.83533333,64.98616667,0.25,16.96416667,63.916,0.316666667,16.747,66.3495,0.228333333,17.49383333,62.7825,0.33,16.66,66.69533333,0.31,16.847,65.17516667,0.296666667,17.14716667,63.50916667,0.321666667,16.93116667,64.12233333,0.293333333,16.26433333,68.80783333,0.311666667,16.425,66.43083333,0.965999517,15.50391283,74.2573354
14,08/10/2024 06:00,0.328333333,16.86383333,64.1715,0.388333333,16.82633333,64.56266667,0.333333333,16.2295,67.48116667,0.34,16.2315,67.46416667,0.321666667,16.952,64.73,0.216666667,17.05366667,63.314,0.233333333,16.75,64.87616667,0.34,16.33933333,67.32383333,0.34,16.21666667,67.67483333,0.275,16.28916667,66.67216667,0.293333333,16.60966667,65.286,0.25,16.75933333,64.247,0.318333333,16.5125,66.815,0.185,17.2845,63.1085,0.276666667,16.45816667,67.02483333,0.285,16.59266667,65.63583333,0.253333333,16.89283333,64.03833333,0.31,16.692,64.57583333,0.253333333,16.007,69.29116667,0.293333333,16.204,66.74266667,0.898649767,15.3113528,74.37708583
15,08/10/2024 07:00,0.268333333,16.73566667,64.332,0.328333333,16.66466667,64.89433333,0.29,16.0465,67.841,0.291666667,16.0365,67.96916667,0.306666667,16.8085,65.01866667,0.188333333,16.82766667,63.86983333,0.218333333,16.62516667,65.07483333,0.34,16.22233333,67.36483333,0.255,16.06966667,67.866,0.248333333,16.16466667,66.83683333,0.281666667,16.4235,65.70333333,0.226666667,16.61716667,64.43666667,0.28,16.40933333,66.92083333,0.193333333,17.1375,63.314,0.248333333,16.33383333,67.151,0.283333333,16.4105,66.00333333,0.23,16.7055,64.40633333,0.298333333,16.4585,65.07766667,0.223333333,15.82466667,69.73883333,0.271666667,16.06433333,67.0215,0.865508717,15.20091053,74.28158127
16,08/10/2024 08:00,0.223333333,16.70633333,64.30716667,0.24,16.563,65.112,0.258333333,15.9485,68.05566667,0.288333333,15.93233333,68.2115,0.265,16.76666667,64.997,0.175,16.7875,63.93466667,0.198333333,16.57016667,65.05566667,0.303333333,16.1975,67.27583333,0.2,16.0115,67.96116667,0.215,16.15666667,66.67333333,0.221666667,16.3755,65.75833333,0.205,16.56133333,64.424,0.238333333,16.41366667,66.83283333,0.15,17.06766667,63.3795,0.176666667,16.296,67.09516667,0.213333333,16.3565,66.09916667,0.233333333,16.61216667,64.61316667,0.24,16.41816667,65.0795,0.215,15.66,70.31883333,0.25,16.0125,67.12333333,0.75329265,15.22264858,73.92639697
